row,sku,reason,action,price_list,disposition
1003,HF-TRAV-2987,"price_ex_vat missing and no fallback on the variant",archive,price-list-eu,retry
1006,HF-SLATE-7058,"duplicate barcode, already held by another variant",upsert,price-list-uk,skip
1009,HF-OAK-3616,"variant option 'finish' has no value on the parent",upsert,price-list-trade,hold
1012,HF-VINYL-6800,"price_ex_vat missing and no fallback on the variant",archive,price-list-uk,hold
1015,HF-PORC-3545,"stock_location 'WH-3' is not enabled for this channel",upsert,price-list-uk,retry
1018,HF-LIME-5348,"variant option 'finish' has no value on the parent",upsert,price-list-trade,skip
1021,HF-LIME-3742,"lead_time_days out of range (got 0, expected 1-90)",upsert,price-list-eu,skip
1024,HF-GRANITE-2165,"lead_time_days out of range (got 0, expected 1-90)",create,price-list-trade,hold
1027,HF-TRAV-4538,"price_ex_vat missing and no fallback on the variant",create,price-list-trade,retry
1030,HF-VINYL-8578,"lead_time_days out of range (got 0, expected 1-90)",archive,price-list-eu,hold
1033,HF-VINYL-4254,"parent sku not found in this catalogue version",create,price-list-trade,skip
1036,HF-VINYL-5772,"price_ex_vat missing and no fallback on the variant",create,price-list-trade,hold
1039,HF-GRANITE-5449,"tax_class 'reduced' withdrawn on 2026-08-01",create,price-list-trade,hold
1042,HF-VINYL-1721,"attribute 'pack_coverage_m2' is not a number: '2,4'",create,price-list-eu,retry
1045,HF-VINYL-7399,"stock_location 'WH-3' is not enabled for this channel",upsert,price-list-uk,hold
1048,HF-BAMBOO-4282,"price_ex_vat missing and no fallback on the variant",upsert,price-list-eu,retry
1051,HF-TRAV-1247,"tax_class 'reduced' withdrawn on 2026-08-01",create,price-list-eu,retry
1054,HF-MARBLE-8452,"duplicate barcode, already held by another variant",archive,price-list-uk,skip
1057,HF-OAK-1514,"tax_class 'reduced' withdrawn on 2026-08-01",upsert,price-list-trade,hold
1060,HF-BAMBOO-6370,"attribute 'pack_coverage_m2' is not a number: '2,4'",upsert,price-list-uk,skip
1063,HF-SLATE-7783,"parent sku not found in this catalogue version",archive,price-list-eu,retry
1066,HF-SLATE-5083,"tax_class 'reduced' withdrawn on 2026-08-01",upsert,price-list-trade,skip
1069,HF-TERRA-4900,"attribute 'pack_coverage_m2' is not a number: '2,4'",archive,price-list-trade,skip
1072,HF-SLATE-7715,"variant option 'finish' has no value on the parent",create,price-list-uk,retry
1075,HF-TRAV-5096,"duplicate barcode, already held by another variant",archive,price-list-uk,skip
1078,HF-SLATE-2403,"variant option 'finish' has no value on the parent",create,price-list-trade,skip
1081,HF-TRAV-1342,"attribute 'pack_coverage_m2' is not a number: '2,4'",upsert,price-list-eu,hold
1084,HF-SLATE-2772,"tax_class 'reduced' withdrawn on 2026-08-01",create,price-list-eu,retry
1087,HF-TRAV-1191,"lead_time_days out of range (got 0, expected 1-90)",upsert,price-list-trade,skip
