# order webhook dispatcher, tenant halberd-fen, 2026-09-19 19:00Z onward
# endpoint owned by the customer's ERP; dispatcher gives up after 8 attempts
2026-09-19T19:13:31Z webhook-dispatcher order.created id=ord_dcae6e9f attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=4s
2026-09-19T19:26:02Z webhook-dispatcher order.created id=ord_4a212290 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:39:33Z webhook-dispatcher order.created id=ord_024115e4 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=64s
2026-09-19T19:52:04Z webhook-dispatcher order.created id=ord_fd4f6854 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=16s
2026-09-19T19:05:35Z webhook-dispatcher order.created id=ord_ab8755c5 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:18:06Z webhook-dispatcher order.created id=ord_d76e0b6f attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:31:37Z webhook-dispatcher order.created id=ord_183982d2 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:44:08Z webhook-dispatcher order.created id=ord_4a2a3e41 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=2s
2026-09-19T19:57:39Z webhook-dispatcher order.created id=ord_7a2f15f0 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:10:10Z webhook-dispatcher order.created id=ord_0c98ae86 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:23:41Z webhook-dispatcher order.created id=ord_542297bb attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=32s
2026-09-19T19:36:12Z webhook-dispatcher order.created id=ord_268cdc62 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=128s
2026-09-19T19:49:43Z webhook-dispatcher order.created id=ord_feb9a31c attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=4s
2026-09-19T19:02:14Z webhook-dispatcher order.created id=ord_0260d2cc attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=128s
2026-09-19T19:15:45Z webhook-dispatcher order.created id=ord_f1c41106 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=2s
2026-09-19T19:28:16Z webhook-dispatcher order.created id=ord_5c66c458 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:41:47Z webhook-dispatcher order.created id=ord_b779e1eb attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:54:18Z webhook-dispatcher order.created id=ord_9f82af07 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:07:49Z webhook-dispatcher order.created id=ord_a64108e7 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=2s
2026-09-19T19:20:20Z webhook-dispatcher order.created id=ord_01b9a9d2 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:33:51Z webhook-dispatcher order.created id=ord_ada09b93 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=16s
2026-09-19T19:46:22Z webhook-dispatcher order.created id=ord_9985a520 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:59:53Z webhook-dispatcher order.created id=ord_7dbb32c5 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:12:24Z webhook-dispatcher order.created id=ord_f15ef81d attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=8s
2026-09-19T19:25:55Z webhook-dispatcher order.created id=ord_21e5ba4f attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:38:26Z webhook-dispatcher order.created id=ord_71874113 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=128s
2026-09-19T19:51:57Z webhook-dispatcher order.created id=ord_222c0ced attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:04:28Z webhook-dispatcher order.created id=ord_b38b23fa attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:17:59Z webhook-dispatcher order.created id=ord_f19f3e94 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:30:30Z webhook-dispatcher order.created id=ord_1ce44f90 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=4s
2026-09-19T19:43:01Z webhook-dispatcher order.created id=ord_e8c4d180 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:56:32Z webhook-dispatcher order.created id=ord_cd7c84db attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=64s
2026-09-19T19:09:03Z webhook-dispatcher order.created id=ord_72f0d03b attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:22:34Z webhook-dispatcher order.created id=ord_ff50b43f attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=2s
2026-09-19T19:35:05Z webhook-dispatcher order.created id=ord_211d941d attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=2s
2026-09-19T19:48:36Z webhook-dispatcher order.created id=ord_13c42972 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=32s
2026-09-19T19:01:07Z webhook-dispatcher order.created id=ord_805dedb4 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=4s
2026-09-19T19:14:38Z webhook-dispatcher order.created id=ord_110b1947 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=128s
2026-09-19T19:27:09Z webhook-dispatcher order.created id=ord_49e94266 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:40:40Z webhook-dispatcher order.created id=ord_31e001e8 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:53:11Z webhook-dispatcher order.created id=ord_8ff8ed7a attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:06:42Z webhook-dispatcher order.created id=ord_f1203cda attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=4s
2026-09-19T19:19:13Z webhook-dispatcher order.created id=ord_95d7917c attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=8s
2026-09-19T19:32:44Z webhook-dispatcher order.created id=ord_c5e95b48 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=16s
2026-09-19T19:45:15Z webhook-dispatcher order.created id=ord_2dc08cf1 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
